proposed_key	source_kind	file:line	english_label	note
snackbar_success_14	snackbar	app/modules/hashtag_groups/views/hashtag_groups_view.dart:681	Success	Hashtag deleted successfully!
snackbar_unable_to_delete_7	snackbar	app/modules/hashtag_groups/views/hashtag_groups_view.dart:694	Unable to Delete	Unable to delete hashtag. Please try again.
snackbar_unable_to_delete_8	snackbar	app/modules/hashtag_groups/views/hashtag_groups_view.dart:704	Unable to Delete	Unable to delete hashtag. Please try again.
snackbar_invalid_name_6	snackbar	app/modules/hashtag_groups/views/hashtag_groups_view.dart:904	Invalid Name	Hashtag name cannot be empty
snackbar_unable_to_add_9	snackbar	app/modules/hashtag_groups/views/hashtag_groups_view.dart:921	Unable to Add	Unable to add hashtag. Please try again.
snackbar_duplicate_hashtag	snackbar	app/modules/hashtag_groups/views/hashtag_groups_view.dart:931	Duplicate Hashtag	Hashtag with this name already exists.
snackbar_name_conflict_7	snackbar	app/modules/hashtag_groups/views/hashtag_groups_view.dart:941	Name Conflict	This name is already used by the parent group.
snackbar_success_15	snackbar	app/modules/hashtag_groups/views/hashtag_groups_view.dart:953	Success	Hashtag added successfully
snackbar_unable_to_add_10	snackbar	app/modules/hashtag_groups/views/hashtag_groups_view.dart:962	Unable to Add	Unable to add hashtag. Please try again.
tooltip_add_new_hashtag_group	tooltip	app/modules/hashtag_groups/views/hashtag_groups_view.dart:1181	Add New Hashtag Group	
text_selectedhashtaggroups_where_g_g_issubgroup_length_s	Text	app/modules/hashtag_groups/views/hashtag_groups_view.dart:1209	${_selectedHashtagGroups.where((g) => g.isSubgroup).length} selected	
text_no_hashtag_groups_found_ntap_to_add_a_new_group	Text	app/modules/hashtag_groups/views/hashtag_groups_view.dart:1274	No hashtag groups found.\nTap + to add a new group.	
text_rich_text_rich_widget_2	text_rich	app/modules/hashtag_groups/views/hashtag_groups_view.dart:1415	(Text.rich widget)	line 1415; scan TextSpan children in app/modules/hashtag_groups/views/hashtag_groups_view.dart
text_span_2	text_span	app/modules/hashtag_groups/views/hashtag_groups_view.dart:1415	 (	inside Text.rich
text_span_mainhashtaggroup_subgroups_length_0	text_span	app/modules/hashtag_groups/views/hashtag_groups_view.dart:1415	 (${mainHashtagGroup.subgroups?.length ?? 0})	inside Text.rich
text_span_selectedsubgroupscount_2	text_span	app/modules/hashtag_groups/views/hashtag_groups_view.dart:1415	$selectedSubgroupsCount	inside Text.rich
text_span_mainhashtaggroup_subgroups_length_0_2	text_span	app/modules/hashtag_groups/views/hashtag_groups_view.dart:1415	/${mainHashtagGroup.subgroups?.length ?? 0})	inside Text.rich
tooltip_edit_hashtag_group	tooltip	app/modules/hashtag_groups/views/hashtag_groups_view.dart:1497	Edit Hashtag Group	
tooltip_delete_hashtag_group	tooltip	app/modules/hashtag_groups/views/hashtag_groups_view.dart:1514	Delete Hashtag Group	
tooltip_add_subgroup_2	tooltip	app/modules/hashtag_groups/views/hashtag_groups_view.dart:1532	Add Subgroup	
tooltip_edit_2	tooltip	app/modules/hashtag_groups/views/hashtag_groups_view.dart:1670	Edit	
tooltip_delete_2	tooltip	app/modules/hashtag_groups/views/hashtag_groups_view.dart:1691	Delete	
hinttext_add_hashtag_name	hintText	app/modules/hashtag_groups/views/hashtag_groups_view.dart:1746	add Hashtag Name	
tooltip_save_4	tooltip	app/modules/hashtag_groups/views/hashtag_groups_view.dart:1790	Save	
tooltip_cancel_4	tooltip	app/modules/hashtag_groups/views/hashtag_groups_view.dart:1811	Cancel	
snackbar_success_16	snackbar	app/modules/hashtag_groups/views/hashtag_groups_view.dart:1847	Success	Hashtag updated successfully
hinttext_edit_hashtag	hintText	app/modules/hashtag_groups/views/hashtag_groups_view.dart:1898	edit Hashtag	
tooltip_save_5	tooltip	app/modules/hashtag_groups/views/hashtag_groups_view.dart:1940	Save	
tooltip_cancel_5	tooltip	app/modules/hashtag_groups/views/hashtag_groups_view.dart:1961	Cancel	
